State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.93997	1.93897	1.92511	1.93798	1.93303	1.95284	1.97066	2.00334	2.02315	2.02315	1.97165	1.97562	1.96571	1.96769	1.93798	1.92709	1.95482	1.94492	1.91422	1.88946	1.90035
2	0.55634	0.55671	0.55592	0.55578	0.55625	0.55800	0.55717	0.55551	0.55791	0.56349	0.57134	0.57781	0.58335	0.58981	0.59641	0.60495	0.61206	0.62046	0.62859	0.63648	0.64276
3	1.51017	1.49476	1.47715	1.48595	1.47054	1.45733	1.50136	1.52338	1.48375	1.47494	1.43972	1.41110	1.41330	1.42211	1.41991	1.42431	1.42651	1.44192	1.45293	1.44192	1.44853
4	4.31691	4.36320	4.38106	4.40542	4.39162	4.36726	4.36969	4.33965	4.27631	4.16911	4.01482	3.84997	3.63803	3.41471	3.24255	3.09151	2.93560	2.79105	2.62945	2.53931	2.45080
5	4.26671	4.34018	4.35593	4.35593	4.37430	4.37692	4.35855	4.35068	4.27983	4.14863	3.96232	3.78913	3.58183	3.47949	3.36928	3.15149	3.01241	2.90483	2.82873	2.68965	2.66079
6	1.83413	1.81081	1.81692	1.79915	1.83024	1.85301	1.86745	1.86745	1.88411	1.95574	2.06180	2.12399	2.23727	2.34333	2.40275	2.44218	2.47272	2.49326	2.53269	2.53324	2.51992
7	0.70883	0.68071	0.67183	0.66887	0.64224	0.64668	0.57269	0.56381	0.58009	0.60524	0.62892	0.64816	0.67627	0.67183	0.66887	0.69699	0.71475	0.72511	0.71327	0.74878	0.74286
8	2.94882	2.92299	2.93160	2.91438	2.90577	2.86272	2.89286	2.92729	2.92729	2.74219	2.62596	2.59582	2.49681	2.39780	2.27726	2.16964	2.17825	2.24713	2.26004	2.14381	2.05341
9	1.42781	1.38128	1.38128	1.47870	1.43072	1.37983	1.38273	1.46561	1.52668	1.57175	1.58920	1.63718	1.71279	1.72297	1.75495	1.75350	1.80875	1.78839	1.81020	1.78258	1.82184
10	3.25537	3.28552	3.29413	3.13696	3.15633	3.10897	3.10682	3.05084	2.98194	2.83338	2.76233	2.73434	2.68482	2.67621	2.76879	2.83123	2.73434	2.72142	2.71496	2.80970	2.79247
