State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.82171	4.96242	5.08565	5.16431	5.16431	5.00262	4.67838	4.14526	3.65321	3.27041	3.12795	3.07726	3.22846	3.57980	3.98008	4.32704	4.58661	4.75179	4.77452	4.73344	4.65304
2	0.62015	0.60308	0.57978	0.54743	0.51100	0.46272	0.41122	0.36449	0.33348	0.31727	0.30879	0.31059	0.31747	0.32562	0.33691	0.35218	0.36946	0.38718	0.40287	0.41460	0.42524
3	0.84125	0.81405	0.80628	0.78880	0.77325	0.74411	0.69360	0.63920	0.58868	0.57314	0.61588	0.61783	0.61200	0.62171	0.64891	0.69360	0.71691	0.74994	0.78491	0.79657	0.85097
4	0.54611	0.50454	0.46728	0.42929	0.40134	0.36837	0.35547	0.34759	0.36049	0.37052	0.38988	0.40708	0.41496	0.43359	0.44291	0.44793	0.45438	0.47014	0.51243	0.56546	0.65075
5	1.19035	1.08845	0.97729	0.84529	0.76886	0.75265	0.75034	0.74107	0.75034	0.79434	0.86613	0.90318	0.89855	0.91476	0.91939	0.97266	1.03982	1.23435	1.48910	1.82721	2.18385
6	1.43150	1.37416	1.28791	1.17127	1.01543	0.83949	0.66209	0.55035	0.45920	0.42391	0.40970	0.40725	0.42930	0.45381	0.51556	0.65131	0.92722	1.19382	1.41386	1.58441	1.70202
7	1.95770	1.81535	1.61553	1.30339	0.96906	0.75748	0.62819	0.55244	0.49367	0.45710	0.41139	0.41662	0.44927	0.46624	0.54330	0.84760	1.58810	2.62246	3.58237	4.31765	4.78390
8	4.80983	5.43671	5.80903	6.23455	6.01419	4.90861	3.67386	2.79244	2.32893	1.85023	1.72105	1.94521	2.56069	4.06138	8.25194	14.15976	17.89441	18.68085	17.82602	16.27213	14.65746
9	2.72297	2.90005	3.23497	3.74953	4.15118	4.50919	4.20892	3.26833	2.28411	2.17375	2.01977	1.34865	1.24599	1.42564	1.95946	2.54075	2.85129	2.59208	2.19813	1.99282	1.82215
10	4.08532	4.64967	5.60924	7.10466	9.56156	13.30675	18.43716	24.23451	28.88608	31.01995	31.98713	32.81939	31.86932	29.51693	24.82736	18.47516	12.53529	8.56778	6.19259	4.65537	3.68819
