State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	3.53093	5.65824	1.85091	1.00622	1.97186	3.12805	4.41581	0.81863
2	75.74134	0.11849	0.48907	0.77039	0.57140	0.30880	0.45510	1.18144
3	1.58836	1.01479	1.49021	0.72709	1.43987	0.61590	0.69620	0.81017
4	4.30587	0.49371	4.98143	2.22122	4.01281	0.38989	0.48862	0.29724
5	1.33253	1.16813	4.74610	2.26280	3.96274	0.86616	1.02476	0.18355
6	6.29691	0.34756	1.70719	2.00009	2.06202	0.40971	0.89919	0.38009
7	2.36289	0.23674	0.50183	2.23802	0.62899	0.41140	1.31578	0.15915
8	0.81225	1.72534	2.58455	2.18064	2.62623	1.72111	6.75857	0.20079
9	2.40487	0.91939	1.26621	1.04480	1.58937	2.01983	2.62793	0.53722
10	1.62405	36.56999	5.66544	1.35191	2.76262	31.98621	15.25965	0.36340
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
