State (Emission order)	H3K09me3	H3k27me3	H2az	H3K09ac	H3K04me3	H3K04me2	H3K27ac	H3K04me1	H3K79me2	H4K20me1	H3k36me3
1	0.028576039348180555	0.6785747009915519	0.021636247920731277	0.034251792276396166	0.0015613659509268348	0.022166881102942675	2.8737305247011804E-4	0.024658627815037786	0.0027487695633332215	0.01139753378999851	0.0020164819472984347
2	0.005039592486635274	0.006248749514980596	0.005673519962402095	0.01736814172036559	5.191781667003873E-6	5.5185769508259435E-5	6.827230793183987E-5	0.0015107027800452281	7.292021265195184E-4	0.0013728234233599547	1.5170272859134335E-4
3	0.4870624195843807	0.002272590017839431	0.0015393103551302274	0.00706758725318862	0.0457593180212611	5.738777154915629E-4	0.00200155233635718	0.0014853632213330012	0.010249526253880193	0.0025491469783965616	0.05874411091871293
4	0.004558810264137945	0.0018379644730193356	3.0074695572096424E-4	0.03842405156534165	6.239037974641163E-5	9.851069791418631E-5	0.030332643968626723	0.003512561132831473	0.02616231100132727	0.056349631655327664	0.7535916546599662
5	0.007378620036454156	0.0051566842216150925	2.3362393186525954E-4	0.045954427910512234	9.533885732442963E-4	0.0025617563979405383	0.1666045002737399	0.05449939135857648	0.44238022428734874	0.6191117189149206	0.8218163401355228
6	7.403345787660663E-4	0.0010256047560616903	0.001174980201774937	0.032641582419522724	9.327617673221341E-6	1.0596188778314928E-4	0.008088479781954344	0.008236733345798077	0.03862942943951695	0.044758611446284964	0.05599400608555771
7	0.0031876303547216695	0.004526082347813993	0.0015319491253010097	0.046096312109761034	2.382012242541563E-4	0.00453615458120072	0.09694915679747432	0.11049085943884925	0.7098200130876118	0.47580425253214775	0.06604792540589441
8	7.923607790187164E-4	0.0051536892425335604	0.03177247141181836	0.25439258196102915	0.4585528959204337	0.6837677519085478	0.7158015045301024	0.9156696456267933	0.82671837322144	0.4526862874981528	0.12354350604379535
9	0.0016609877976695778	0.007946587293701637	0.1381868878083534	0.08390874474528727	0.04584020020738092	0.180031433031875	0.2735604402983404	0.7310888765335807	0.03134006575029224	0.011431145722739733	0.006728724297791516
10	0.009804221697052551	0.15487605506436705	0.6529994494632361	0.5615422227627018	0.8962240485319113	0.9943314639903879	0.6448178596523629	0.6588694954063407	0.2234687719641132	0.029807108831042404	8.769822190402488E-4
