State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9301025960102752	0.054256623161058136	2.0720075606600353E-4	9.39085484704472E-5	8.224857076999082E-5	0.0010195198169681017	1.5825158406292564E-4	0.0	0.0020599270333494196	0.012019724518979586
2	0.002638801452611242	0.9914719646105776	0.001835627707028281	2.1393018209879524E-5	0.0	3.4459364855894784E-4	0.0	0.0	0.0035223071119822595	1.6531245103147395E-4
3	3.6536413717085266E-4	0.07845975027366917	0.9156802692336461	0.0013625294548665387	9.475664903139956E-5	0.002656651647126112	2.5891898279233446E-4	2.0969962561526713E-5	4.8135686349103557E-4	6.194327956450324E-4
4	1.0255111106262767E-4	5.477542018747203E-4	6.378748629894725E-4	0.941373583009186	0.0094663361597507	0.04694644865062105	0.0	3.661236041880566E-5	8.864025767278258E-4	2.4370673688633486E-6
5	2.2051895350074345E-4	0.0	1.6248272582178956E-4	0.030435767273061902	0.9117026163824156	0.01636458202124473	0.03125574766803985	0.00796437216998999	0.0018939128059254097	0.0
6	5.845096940785434E-4	0.004049255763924791	6.294411613733592E-4	0.03187228255132509	0.003398624281792147	0.9314619306080218	0.007986994040358917	6.697446910313557E-5	0.019332324141454412	6.176632885677686E-4
7	1.9986981042961833E-4	0.0	1.7594433110494805E-4	0.0	0.018336753992849442	0.022396714154688545	0.9255107751479039	0.030861626715246372	0.0020828515827191743	4.354642650579287E-4
8	0.0	0.0	0.0	2.939010045895775E-4	0.012696057299412734	5.471592171725067E-4	0.08979367304653542	0.8317884820172388	0.01229782371712539	0.0525829036979256
9	0.0030874129867656036	0.10700124603828845	3.8674832711828647E-4	0.0015778313725972749	9.638331555298545E-4	0.049717591671898445	0.0021900273636271763	0.00398607359806797	0.7542862683876367	0.07680296709847034
10	0.027452638060260277	0.007537542009537087	6.624257698463236E-4	1.6491810492775967E-5	0.0	0.002562299043877896	7.826403189857811E-4	0.02766154931198175	0.11542901524111576	0.8178953984339024
